row,image1,image2,win1,win2,tie
100,c2080a4ae3221819.jpeg,cf4fecc3c2e0c040.jpeg,9,1,0
101,70d2c63612747e09.jpeg,dedc5accf0dccffb.jpeg,7,1,2
102,1a9e98d984c46563.jpeg,f2f6298ec6d62627.jpeg,0,10,0
103,04763f1793071933.jpeg,4d2a76444cd8d565.jpeg,8,1,1
104,4089e5e46b478500.jpeg,8328f8d8ccd0fc8e.jpeg,7,2,1
105,121f1e1513131265.jpeg,5f66b66c6667e13d.jpeg,5,4,1
106,aab2b2622692a8f0.jpeg,e02094c45cf1e1f1.jpeg,5,4,1
107,3f838323b99f3f9c.png,bd2151b361d4cc15.jpeg,10,0,0
108,647cef7ee6eee6f3.jpeg,82a48659759e8b6d.jpeg,10,0,0
109,3d3d1f6b2f3c6c2c.jpeg,44004d4893990091.jpeg,0,10,0
110,79b1f1e3e43e6ccd.jpeg,a422c60675a5c491.jpeg,5,2,3
111,32383cbdf5065646.jpeg,f0ccebc1c1cbcecc.jpeg,2,8,0
112,87c7c7c7a4e56c6c.jpeg,94545696f1e81c98.jpeg,4,3,3
113,0c0ea5695be6eeec.jpeg,caea2a9bca78748f.jpeg,0,10,0
114,018dccce3cdcf6b2.jpeg,da1a393b3be7e0ec.jpeg,10,0,0
115,6de9f8e0e98d9999.jpeg,cec7e44cecb574e4.jpeg,0,10,0
116,63e7c6c86872345c.jpeg,f0e0ecd979b0954d.jpeg,1,5,4
117,8e16ec0e06220acc.jpeg,e8f4d3b4d074103c.jpeg,9,0,1
118,61c7cb43c6ac1aba.jpeg,9f06662733333333.jpeg,0,10,0
119,2de9686931c2eac0.jpeg,9d9032732531e8e0.jpeg,1,9,0
120,0e0e0e5627abdb81.jpeg,70d0e49591c5c030.jpeg,1,8,1
121,a7e7e6f5c0c3d1b4.jpeg,dad498595ab4f414.jpeg,10,0,0
122,20a686aca4cd9d96.jpeg,94ea6c64646464de.jpeg,0,10,0
123,00c0cb9bd3f49494.jpeg,85ca4ae4c4e3c3c1.jpeg,3,5,2
124,340407178b880400.jpeg,a4c4c28ce1e26060.jpeg,10,0,0
125,5833339b26761ada.jpeg,666eace66e29381d.jpeg,10,0,0
126,496160383b060a93.jpeg,c1c0d0c444a4b431.jpeg,7,1,2
127,e6e2d2da98889864.jpeg,f1f3d9e8fe4fe7ad.jpeg,0,6,4
128,118ba5717d4c0bd0.jpeg,bd2151b361d4cc15.jpeg,2,1,7
129,8492a0a0a32379e6.jpeg,f2d2b1b1cdcc2931.jpeg,1,9,0
130,711747e969e8c201.jpeg,f0e0ecd979b0954d.jpeg,8,2,0
131,7262e2e1f0f9acb2.jpeg,f2f2c8c8a8a8ecc4.jpeg,0,10,0
132,7527a2a63c30da8e.jpeg,8e6ad2bbbbb19199.jpeg,0,10,0
133,06646168d6dacc81.jpeg,ca799dd9c2e94dec.jpeg,0,10,0
134,375f7c1e33d5cc68.jpeg,e36567e571b38a80.jpeg,2,5,3
135,732d2a7bd9b8fcb5.jpeg,d8494832ccc4d0f8.jpeg,2,6,2
136,7327274717bc7258.jpeg,dbdbfbdbdedecedc.jpeg,10,0,0
137,195b92ca2a270626.jpeg,abcac3ff84673e0e.jpeg,10,0,0
138,32326ac581e5c153.jpeg,d464fcf27cee7212.jpeg,10,0,0
139,38a496340c618e7c.jpeg,7777b4d670a0d21a.jpeg,10,0,0
140,0ff217444e2c7a8a.jpeg,cdc97979373773f3.jpeg,0,10,0
141,34b4143c180606e0.jpeg,6eb8f66266a2effc.jpeg,4,6,0
142,404606242e3a2612.jpeg,e3e3f2b1a2e24106.jpeg,3,3,4
143,06646168d6dacc81.jpeg,e9e9e9e16b6bd8cd.jpeg,0,10,0
144,32326ac581e5c153.jpeg,60186868567e2c18.jpeg,9,1,0
145,726243928383b2d2.jpeg,8eacb434cd726264.jpeg,10,0,0
146,3470c006da9cb645.jpeg,fbff65679bdef6fe.jpeg,4,4,2
147,34611b8bc3abc9e5.jpeg,9ae16108cdc58323.jpeg,6,2,2
148,00c6495a5b5b4a2f.jpeg,0c0ea5695be6eeec.jpeg,2,5,3
149,5f66b66c6667e13d.jpeg,f1c4e1735724b0cc.jpeg,4,3,3
150,262465584c4c9e1e.jpeg,79b1f1e3e43e6ccd.jpeg,0,9,1
151,584849692b2d2d2f.jpeg,9393a6c4c3d0e032.jpeg,0,10,0
152,6176f2f96138feff.jpeg,cdcd850903c43680.jpeg,0,10,0
153,28130d276def6e7d.jpeg,e3d393939b1b3989.jpeg,0,10,0
154,ad1f79c16799271a.jpeg,e2e0f67e932263cb.jpeg,5,3,2
155,94ea6c64646464de.jpeg,d8d8f8b8405273f3.jpeg,9,0,1
156,9e9e9fb2f2a72112.jpeg,eebe9ca7465675e0.jpeg,10,0,0
157,09899d9a3267c823.jpeg,d9c9d89c9c53c68e.jpeg,0,10,0
158,4ece535a3a76c498.jpeg,a02434302094a2a2.jpeg,10,0,0
159,949498cc4ed098b2.png,9a4c4c646435b61a.jpeg,3,4,3
160,2b2635b7a6fcfafb.jpeg,af5632e6472f8d8f.jpeg,10,0,0
161,30a4f2c0005fcdda.jpeg,e6e2d2da98889864.jpeg,9,1,0
162,a686c2e0eca829c2.jpeg,b7b48dbc386300d8.jpeg,10,0,0
163,321b21233f9fecf9.jpeg,6868263d353d6963.jpeg,9,1,0
164,27a7a2716be0b0b8.jpeg,bebf3ab3f937ecfc.jpeg,10,0,0
165,656d0d5575f3e274.jpeg,7cdcd85c8d233331.jpeg,10,0,0
166,1399e8eae27b6458.jpeg,14e4a4f9f1e7d3fb.jpeg,1,8,1
167,4ccce4e138cd0e0b.jpeg,cc988ce6cdcd9cb4.jpeg,8,2,0
168,0e0e0e5627abdb81.jpeg,78df3c6049d8b8fe.jpeg,3,7,0
169,22672727040081c4.jpeg,7da193a1390ca8d4.jpeg,4,6,0
170,6677f3cd3e7ef6fe.jpeg,996d9631715c8cb8.jpeg,4,4,2
171,4dc919332bd1c3d8.jpeg,98988dff9383a30b.jpeg,1,7,2
172,c0d049cb68a32000.jpeg,da1a393b3be7e0ec.jpeg,9,0,1
173,394bcfcdcfc9c9cb.jpeg,4b4bf1f7cecbd647.jpeg,0,8,2
174,4f0e708ef4e28ef0.jpeg,adcecc011144b939.jpeg,1,6,3
175,0e1606068d2c0c80.jpeg,3830a3290c022868.jpeg,10,0,0
176,3e1ebb964d2d3434.jpeg,5b59266e6a621337.jpeg,2,6,2
177,b63705a4a7d3e5cb.jpeg,d0d0d80c00846279.jpeg,7,1,2
178,80c4c1c76ccc18d9.jpeg,c0e060ecb870677e.jpeg,1,8,1
179,6c9891318da6a92c.jpeg,c480e060e2666c6c.jpeg,10,0,0
180,136ba3838680d0c0.jpeg,32327350920144d4.jpeg,3,7,0
181,a9a3a3cbddcd9d99.jpeg,f4aca993c6ceba1a.jpeg,0,10,0
182,0048a799b1b1999d.jpeg,2dad94e4c4d95548.png,8,1,1
183,340c0e666e7a7226.jpeg,ed76f2b186663438.jpeg,2,8,0
184,615f5660e22e4f26.jpeg,af2baa72b2b85ada.jpeg,2,7,1
185,1d5e6f6e744e5adb.jpeg,d44848626458f874.jpeg,0,10,0
186,66244d5b54541f2a.jpeg,7079f1b4b4a464c8.jpeg,0,10,0
187,109890c2e83a9a89.jpeg,e6e6fe7c3d302020.jpeg,0,10,0
188,262465584c4c9e1e.jpeg,60605a783c25068b.jpeg,0,10,0
189,109404061c69f6ea.jpeg,f2f6298ec6d62627.jpeg,0,10,0
190,2fb36b491b1b8b0b.jpeg,d26e2d51681909c0.jpeg,0,5,5
191,79f9e9e1e4741c60.jpeg,c9c5d0c88c9c99b5.jpeg,6,4,0
192,090132f0d836324f.jpeg,e02094c45cf1e1f1.jpeg,4,2,4
193,0c0842d0c8d199b9.jpeg,a4a4a4b232b62c10.jpeg,3,0,7
194,00c292b11a11950b.jpeg,4c6e662f26a627a6.jpeg,10,0,0
195,2409097c5693a719.jpeg,7cdcd85c8d233331.jpeg,0,10,0
196,71e15112383cae55.jpeg,7bcbe260f836b699.jpeg,6,0,4
197,4063436371a5a74b.jpeg,4b4bf1f7cecbd647.jpeg,8,1,1
198,64a327232a4bdd5e.jpeg,cccc9c5cdb49e263.jpeg,9,0,1
199,864e4623d8bae992.jpeg,95d5f5c9a6330b4b.jpeg,4,6,0
200,9898b2b3e4c49484.jpeg,f131300514262220.jpeg,0,9,1
201,23a3a4602a939b81.jpeg,80fb7f4f15264784.jpeg,4,4,2
202,6c3e3a79f9f2f878.jpeg,d9d9f3f2ccf1909d.jpeg,9,1,0
203,3432390eb6881e92.jpeg,d3d2daf284b07838.jpeg,0,9,1
204,e4c6607931697676.jpeg,f4f97bae7676d6f6.jpeg,6,2,2
205,00c6495a5b5b4a2f.jpeg,e7e6e7df3c706266.jpeg,0,9,1
206,0ece4a529a123622.jpeg,d0603b9ba4a4e7cf.jpeg,4,3,3
207,3ed2f3f3349a1616.jpeg,426e6224471d986c.jpeg,0,9,1
208,84e5390919731b3c.jpeg,93a6c84e29baf060.jpeg,10,0,0
209,71e15112383cae55.jpeg,9f06662733333333.jpeg,0,10,0
210,0787e6ac8c99699e.jpeg,4089e5e46b478500.jpeg,10,0,0
211,3b36c73371715f7f.jpeg,6b3f24c47474351d.jpeg,0,10,0
212,09e183d37b6f4d4e.jpeg,dece4a6260c14250.jpeg,6,2,2
213,0084c1d3c81dd353.jpeg,4cdc982a3a323919.jpeg,0,10,0
214,c0e16116264d8c20.jpeg,e488f0e0f0595592.jpeg,3,5,2
215,4bc09b1d64311107.jpeg,9f06662733333333.jpeg,0,10,0
216,00800884f11a1909.jpeg,400a49c934341411.jpeg,0,10,0
217,8a2aca552d8b552d.jpeg,e488f0e0f0595592.jpeg,1,6,3
218,70a0e4dc9d94d8d8.jpeg,f0ccebc1c1cbcecc.jpeg,9,1,0
219,54dc6ea4b7939bbb.jpeg,c2080a4ae3221819.jpeg,0,10,0
220,80e0b0fcff37dfa6.jpeg,f862365d2c343e32.jpeg,1,4,5
221,7c6ceeeae1929a9c.jpeg,ca799dd9c2e94dec.jpeg,4,5,1
222,80e478393c9272dc.jpeg,ed76f2b186663438.jpeg,0,10,0
223,d95a6cbcdc387c68.jpeg,f4e6e4caca012aeb.jpeg,6,2,2
224,6b3f24c47474351d.jpeg,a5c8ee32534c7881.jpeg,9,0,1
225,a9a3a3cbddcd9d99.jpeg,cfec2dc9c8d05968.jpeg,0,9,1
226,9d8fde44c69e58f6.jpeg,f2b2b8b0e0e9e8ec.jpeg,0,10,0
227,061a512528898981.jpeg,dee77b95907909c0.jpeg,6,1,3
228,3634246670389c98.jpeg,db1ddb579747cf99.jpeg,9,1,0
229,4d2a76444cd8d565.jpeg,8e9ccd6945492db9.png,0,10,0
230,32334efef09c8a90.jpeg,9bdb1e1e388bc79c.jpeg,7,2,1
231,0303906686b462e6.jpeg,e3e0f8d4cdce4640.jpeg,0,10,0
232,23a3a4602a939b81.jpeg,f1f3d9e8fe4fe7ad.jpeg,7,2,1
233,070f0c0d5d142f00.jpeg,ae8c2d332145977f.jpeg,9,0,1
234,302c2e29d89b89e9.jpeg,6279f9e5e16b4945.jpeg,5,4,1
235,426e6224471d986c.jpeg,e62ebab5378381e0.jpeg,7,3,0
236,6178783164f2f219.jpeg,c20d11dad656aa33.jpeg,10,0,0
237,39b99cea6070785c.jpeg,e02094c45cf1e1f1.jpeg,4,4,2
238,787929b96658d8da.jpeg,c9c5d0c88c9c99b5.jpeg,2,7,1
239,3e36368c91964c44.jpeg,9e9d567672f47551.jpeg,10,0,0
240,686664bc919190f0.jpeg,a5c8ee32534c7881.jpeg,8,0,2
241,0c8a10848cdddc7c.jpeg,18d0c14ccdf39881.jpeg,10,0,0
242,787929b96658d8da.jpeg,d8494832ccc4d0f8.jpeg,4,5,1
243,136ba3838680d0c0.jpeg,20d69692acce30b5.jpeg,6,1,3
244,0a8a946d6eee9eb4.jpeg,8080bc9f97939c1c.jpeg,0,8,2
245,337b30b094dc4464.jpeg,eb3b426464a68d9d.jpeg,3,0,7
246,485cb79f9fe88aa6.jpeg,e3f9f0e9a3a2b927.jpeg,0,9,1
247,14070706367b8727.jpeg,fb9d7b8228694e4a.jpeg,10,0,0
248,e46171f1b0f45514.jpeg,ff7b3fdd9f1f3cf0.jpeg,1,8,1
249,b2dadb133397060b.jpeg,f4aca993c6ceba1a.jpeg,10,0,0
250,31395bf898aba686.jpeg,966367c68ded8f13.jpeg,1,8,1
251,b3939b9b83828590.jpeg,fcf8fecefcb466b6.jpeg,10,0,0
252,2f4fdbf366e6cb0b.jpeg,98988dff9383a30b.jpeg,10,0,0
253,6868263d353d6963.jpeg,7071616438c94f4c.jpeg,9,0,1
254,0c009298d1d3f2da.jpeg,f1d9b5a4eb692b6b.jpeg,1,8,1
255,9a3898181c7fba2a.jpeg,bd2151b361d4cc15.jpeg,9,0,1
256,a5a636a6a637f567.jpeg,f8b0bcd85bccc7b2.jpeg,10,0,0
257,68b1bdac2c56929c.jpeg,c2080a4ae3221819.jpeg,5,5,0
258,7c6ceeeae1929a9c.jpeg,e3c959b199e8627a.jpeg,10,0,0
259,98bb382dcf514545.jpeg,d6888ec73918c965.jpeg,6,3,1
260,0ea9c84146b696dc.jpeg,c26a33a2aace746c.jpeg,0,10,0
261,1db5eddeb5f90b4c.jpeg,98bb382dcf514545.jpeg,2,7,1
262,78e2e1f08ccbcfd7.jpeg,e0324a66665c2a2c.jpeg,5,2,3
263,342015476e7f7e7f.jpeg,d0e8e8f8b86a484c.jpeg,0,9,1
264,3e1ebb964d2d3434.jpeg,d4ec1583b8b07159.jpeg,4,1,5
265,1f0cb49b5f3d3f3d.png,301395c1c9cbdc56.jpeg,9,0,1
266,3030321292b391ad.jpeg,3f7d26f4c8c0c6c2.jpeg,1,2,7
267,97a1a9c382e43f3e.jpeg,9968ed6c688928ca.jpeg,0,9,1
268,089bcccccccdcc0d.jpeg,31395bf898aba686.jpeg,6,3,1
269,5d57170bac345ed5.jpeg,c8c8c88db2d0f0b0.jpeg,0,10,0
270,6dd2da4cca8f0727.jpeg,c66c460626525327.jpeg,9,0,1
271,34611b8bc3abc9e5.jpeg,b38293a7a7c01153.jpeg,2,7,1
272,34b9f9f1f99999a9.jpeg,d09599199a933b5c.jpeg,6,1,3
273,81b8f37325b6b554.jpeg,e1e3ce44be1f9fcc.jpeg,0,10,0
274,242d2c2c9da5e4e4.jpeg,4063436371a5a74b.jpeg,0,9,1
275,6b791d2b6a72626a.jpeg,70d2c63612747e09.jpeg,7,2,1
276,85e5e4cc4ccc9bcf.jpeg,ceb7f776f6ad7444.jpeg,0,1,9
277,9f06662733333333.jpeg,d9bcdab19dc3717b.jpeg,10,0,0
278,263230143a312133.jpeg,7979797a7a5e5ed6.jpeg,8,2,0
279,16022086819c8283.jpeg,62fa3434f170e8da.jpeg,0,10,0
280,18d0c14ccdf39881.jpeg,20d69692acce30b5.jpeg,0,9,1
281,9a4c4c646435b61a.jpeg,9bdb1e1e388bc79c.jpeg,0,10,0
282,d4d8f38292d6cd44.jpeg,fbff65679bdef6fe.jpeg,6,2,2
283,e2c6861206b898e2.jpeg,f0385c4ccc6cdce4.jpeg,8,0,2
284,139b9bebbb591189.jpeg,ffdef9f17138d8d0.jpeg,7,1,2
285,9d9032732531e8e0.jpeg,e6a7679ba4ccb185.jpeg,9,1,0
286,9c96a268cc803676.png,f4f97bae7676d6f6.jpeg,10,0,0
287,d4394985b66ba1a1.jpeg,f0ccebc1c1cbcecc.jpeg,7,3,0
288,208080c0da406a23.jpeg,b1990f1bda0d1343.jpeg,1,5,4
289,392d24cc4cec84a5.jpeg,e7e6cea3a3e38707.jpeg,10,0,0
290,e4f0c80d8184d6a0.jpeg,fce7e5b55a9535d6.jpeg,5,5,0
291,3e36368c91964c44.jpeg,9414848d80e1c142.jpeg,10,0,0
292,0f079797982c61a9.jpeg,dfef8d998d8c894c.jpeg,10,0,0
293,49c0c8482d3ca6e6.jpeg,6438203030b4b070.jpeg,2,6,2
294,707858d474cc8ca8.jpeg,79b1f1e3e43e6ccd.jpeg,6,2,2
295,08b7661e352ad515.jpeg,b90fbab2224b4160.jpeg,7,1,2
296,a9c9e1c8f2a0cc4c.jpeg,c85b92908798d0f9.jpeg,2,3,5
297,3469b3d8d9d99b6b.jpeg,e3f3f3d9e4d4ecdc.jpeg,1,8,1
298,10c0f89d6bffdc9c.jpeg,f0ccebc1c1cbcecc.jpeg,1,7,2
299,0e1e7f7c060a45c6.jpeg,222d4ac69d22ecd8.jpeg,2,5,3
300,9539796523a32722.jpeg,e6e6fe7c3d302020.jpeg,4,5,1
301,c9496989990b2808.jpeg,e8f1f9d8d8f934a6.jpeg,7,1,2
302,b5e7d2f5e6968d11.png,c0f4f8fc7c6dcf9a.jpeg,0,10,0
303,6e664b6c0e0f0b1b.jpeg,a6213b2b23716969.jpeg,9,1,0
304,1af0c9aa12963768.jpeg,86060e1313525b10.jpeg,10,0,0
305,900dadcc8f25092c.jpeg,b1990f1bda0d1343.jpeg,3,6,1
306,7327274717bc7258.jpeg,b90fbab2224b4160.jpeg,9,0,1
307,787929b96658d8da.jpeg,b070744b9998e8e1.jpeg,5,4,1
308,63e7c6c86872345c.jpeg,6a64e6e4f472b435.jpeg,0,4,6
309,0000c8f201050043.jpeg,c4c6c6d6863511a6.jpeg,9,1,0
310,02003726ce4f0002.jpeg,e061d8902c299300.jpeg,10,0,0
311,4ac6cec4c94b4bcc.jpeg,e56773139b29459f.jpeg,3,4,3
312,72322a6e25645213.jpeg,94545696f1e81c98.jpeg,0,10,0
313,797ed0c0e2d746d8.jpeg,fc90848c8cc6f8c5.jpeg,1,7,2
314,340c0e666e7a7226.jpeg,60186868567e2c18.jpeg,9,1,0
315,3e36368c91964c44.jpeg,8b886c4c32789293.jpeg,10,0,0
316,84931016a5e35279.jpeg,bab3af8a82f293d3.jpeg,0,9,1
317,21260448c9d690c6.jpeg,ba5c6e635c183428.jpeg,0,10,0
318,2dc9ccf4545595bd.jpeg,d5e5e67612b2fa69.jpeg,10,0,0
319,e5c4c2f21682c074.jpeg,f2d2b1b1cdcc2931.jpeg,4,5,1
320,c7e6e1cdad69e9ed.jpeg,dc5a5e8f7c63c2d6.jpeg,0,10,0
321,486c2a898c8a8b8a.jpeg,647cef7ee6eee6f3.jpeg,0,10,0
322,3b3b333b9b40c088.jpeg,584849692b2d2d2f.jpeg,8,2,0
323,30b1b696e74d3206.jpeg,e8e8e6c6e4a6273e.jpeg,3,5,2
324,adcecc011144b939.jpeg,c7e7e76602cbf924.jpeg,0,10,0
325,cbe647cd4c31e284.jpeg,cdc92322855f7974.jpeg,10,0,0
326,e448dc96c8373732.jpeg,f67e3e9a9afefcd8.jpeg,9,1,0
327,0000c8f201050043.jpeg,f4e6e4caca012aeb.jpeg,8,0,2
328,120919c84e987018.jpeg,66d3191382a2a020.jpeg,10,0,0
329,0a8a946d6eee9eb4.jpeg,4192266554cfa5e5.jpeg,5,0,5
330,0f079797982c61a9.jpeg,fce0c2c693cccccc.jpeg,10,0,0
331,1e96a6f3b83cf0f0.jpeg,caea2a9bca78748f.jpeg,7,3,0
332,c86263d1b0346627.jpeg,cda7b6383831303a.jpeg,10,0,0
333,781bd3f6dba9846c.jpeg,9f8f95b136672383.jpeg,3,7,0
334,7373b3b7b3b3f3b3.jpeg,ea74b7795931b9e5.png,2,5,3
335,01000973e7e60044.jpeg,2622f0d0dac89e9e.jpeg,10,0,0
336,707474e5cd4acdc9.jpeg,7373b3b7b3b3f3b3.jpeg,5,1,4
